7,8,9,12,13,14,4*10,9*19,9*20,10*20,13*14,14*15,8*9*14,9*10*19,9*10*20,9*15*19,10*14*20,Activation Barrier (eV),Only two way,only three way,,,,,,
0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0.175,0.431,0.412,,,,,,
0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0.470,0.592,0.592,,,,,,
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.464,0.372,0.372,,,,,,
0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,0.063,0.3,0.207,,,,,,
1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0.342,0.59,0.572,,,,,,
0,1,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,0.278,0.576,0.475,,,,,,
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.394,0.341,0.341,,,,,,
0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0.403,0.302,0.302,,,,,,
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.557,0.448,0.448,,,,,,
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252,0.448,0.448,,,,,,
1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.251,0.421,0.421,,,,,,
1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.142,0.283,0.283,,,,,,
1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.205,0.162,0.162,,,,,,
1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0.435,0.342,0.342,,,,,,
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.660,0.554,0.554,,,,,,
1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0.209,0.397,0.359,,,,,,
1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0.220,0.432,0.405,,,,,,
1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0.260,0.524,0.441,,,,,,
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.212,0.423,0.423,,,,,,
1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0.346,0.59,0.572,,,,,,
1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0.456,0.666,0.648,,,,,,
1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0.383,0.53,0.53,,,,,,
0,1,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0.426,0.507,0.488,,,,,,
1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0.255,0.452,0.425,,,,,,
0,1,1,0,1,0,0,1,1,1,0,1,0,1,1,0,1,0.297,0.556,0.455,,,,,,
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.278,0.423,0.423,,,,,,
1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.224,0.216,0.216,,,,,,
0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0.201,0.496,0.496,,,,,,
1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0.257,0.47,0.396,,,,,,
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.336,0.352,0.352,,,,,,
0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,-9999.000,0.48,0.36,,,,,,
1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0.452,0.606,0.606,,,,,,
0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0.320,0.268,0.268,,,,,,
1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0.560,0.552,0.552,,,,,,
0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0.129,0.431,0.412,,,,,,
1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0.051,0.31,0.272,,,,,,
0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,-9999.000,0.529,0.51,,,,,,
1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,0.100,0.374,0.281,,,,,,
0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0.551,0.529,0.51,,,,,,
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.330,0.309,0.309,,,,,,
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.478,0.436,0.436,,,,,,
0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.067,0.209,0.209,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.473,0.459,0.459,,,,,,
1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.466,0.398,0.398,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.425,0.385,0.385,,,,,,
0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0.197,0.215,0.179,,,,,,
1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0.503,0.53,0.53,,,,,,
1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0.654,0.606,0.606,,,,,,
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342,0.352,0.352,,,,,,
0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0.498,0.499,0.499,,,,,,
1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0.323,0.552,0.552,,,,,,
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124,0.122,0.122,,,,,,
0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0.489,0.654,0.654,,,,,,
0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0.050,0.198,0.198,,,,,,
1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0.347,0.486,0.459,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999.000,0.459,0.459,,,,,,
0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0.131,0.387,0.313,,,,,,
0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0.282,0.45,0.385,,,,,,
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.175,0.079,0.079,,,,,,
0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0.421,0.532,0.532,,,,,,
1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0.685,0.657,0.639,,,,,,
1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0.294,0.289,0.253,,,,,,
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.082,0.079,0.079,,,,,,
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.459,0.372,0.372,,,,,,
