8,10,14,15,4*10,8*9,9*10,9*19,9*20,10*14,10*20,13*14,8*9*14,9*10*19,9*10*20,9*15*19,10*14*20,Actual Energy,energy-only two way,energy-three way,three way-actual,two way-actual,energy one way,,
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236,0.265,0.265,0.029,0.029,0.265,,
1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0.421,0.65,0.629,0.208,0.229,0.545,,
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.792,0.776,0.776,0.016,0.016,0.776,,
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268,0.483,0.483,0.215,0.215,0.483,,
0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0.254,0.636,0.604,0.35,0.382,0.444,,
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.797,0.756,0.756,0.041,0.041,0.776,,
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.532,0.776,0.776,0.244,0.244,0.776,,
1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.474,0.478,0.478,0.004,0.004,0.493,,
0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0.367,0.655,0.634,0.267,0.288,0.506,,
0,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0.112,0.474,0.358,0.246,0.362,0.174,,
1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.23,0.196,0.196,0.034,0.034,0.213,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197,0.496,0.496,0.299,0.299,0.496,,
1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0.419,0.694,0.673,0.254,0.275,0.545,,
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.728,0.724,0.724,0.004,0.004,0.724,,
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215,0.483,0.483,0.268,0.268,0.483,,
0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.322,0.198,0.198,0.124,0.124,0.174,,
0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.417,0.407,0.407,0.01,0.01,0.454,,
0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0.466,0.431,0.431,0.035,0.035,0.454,,
1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0.327,0.57,0.57,0.243,0.243,0.483,,
0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.508,0.515,0.515,0.007,0.007,0.506,,
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.61,0.55,0.55,0.06,0.06,0.535,,
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.832,0.795,0.795,0.037,0.037,0.815,,
0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.13,0.39,0.39,0.26,0.26,0.226,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.543,0.535,0.535,0.008,0.008,0.535,,
1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0.409,0.705,0.621,0.212,0.296,0.545,,
1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0.38,0.34,0.267,0.113,0.04,0.213,,
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.951,0.896,0.896,0.055,0.055,0.776,,
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.739,0.756,0.756,0.017,0.017,0.776,,
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0.444,0.444,0.036,0.036,0.444,,
0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0.372,0.655,0.634,0.262,0.283,0.506,,
1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.593,0.554,0.554,0.039,0.039,0.545,,
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.602,0.616,0.616,0.014,0.014,0.496,,
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193,0.444,0.444,0.251,0.251,0.444,,
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.775,0.795,0.795,0.02,0.02,0.815,,
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.542,0.815,0.815,0.273,0.273,0.815,,
1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.827,0.83,0.81,0.017,0.003,0.815,,
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.322,0.516,0.516,0.194,0.194,0.444,,
0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.533,0.439,0.439,0.094,0.094,0.454,,
1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0.481,0.742,0.742,0.261,0.261,0.535,,
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.484,0.756,0.756,0.272,0.272,0.776,,
