8,10,14,15,4*10,8*9,9*10,9*19,9*20,10*14,10*20,13*14,8*9*14,9*10*19,9*10*20,9*15*19,10*14*20,Actual Energy,energy-only two way,energy-three way,three way-actual,two way-actual
1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.267,0.272,0.272,0.005,0.005
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205,0.213,0.213,0.008,0.008
0,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0.543,0.551,0.478,0.065,0.008
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.8,0.795,0.795,0.005,0.005
0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.886,0.876,0.876,0.01,0.01
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.545,0.55,0.55,0.005,0.005
1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.266,0.272,0.272,0.006,0.006
1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.825,0.83,0.81,0.015,0.005
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.448,0.444,0.444,0.004,0.004
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.445,0.444,0.444,0.001,0.001
1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0.875,0.878,0.826,0.049,0.003
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.445,0.444,0.444,0.001,0.001
0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.146,0.142,0.142,0.004,0.004
1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.736,0.743,0.743,0.007,0.007
0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.524,0.515,0.515,0.009,0.009
0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.146,0.142,0.142,0.004,0.004
0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.206,0.198,0.198,0.008,0.008
1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0.516,0.517,0.497,0.019,0.001
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.728,0.724,0.724,0.004,0.004
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.279,0.289,0.289,0.01,0.01
1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.512,0.502,0.502,0.01,0.01
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172,0.174,0.174,0.002,0.002
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.495,0.496,0.496,0.001,0.001
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.538,0.535,0.535,0.003,0.003
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.733,0.724,0.724,0.009,0.009
0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.168,0.166,0.166,0.002,0.002
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.498,0.498,0.498,0,0
1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.265,0.272,0.272,0.007,0.007
1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0.882,0.878,0.826,0.056,0.004
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.441,0.444,0.444,0.003,0.003
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.797,0.795,0.795,0.002,0.002
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259,0.265,0.265,0.006,0.006
1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0.335,0.34,0.267,0.068,0.005
